category,orders,items,realized_gmv,freight_value,customers,avg_item_price
health_beauty,8836,9670,1233131.72,182566.73,8678,127.52137745604963
watches_gifts,5624,5991,1166176.98,100535.93,5547,194.6548122183275
bed_bath_table,9417,11115,1023434.76,204693.04,9145,92.07690148448043
sports_leisure,7720,8641,954852.55,168607.51,7515,110.50255178798751
computers_accessories,6689,7827,888724.61,147318.08,6557,113.5460086878753
furniture_decor,6449,8334,711927.6900000001,172749.3,6317,85.42448884089274
housewares,5884,6964,615628.69,146149.11,5821,88.40159247558873
cool_stuff,3632,3796,610204.1,84039.1,3615,160.74923603793465
auto,3897,4235,578966.65,92664.21,3852,136.70995277449825
toys,3886,4117,471286.48,77425.95,3844,114.47327665776051
garden_tools,3518,4347,470495.27999999997,98962.75,3489,108.23447895100068
baby,2885,3065,400421.84,68353.11,2858,130.6433409461664
perfumery,3162,3419,390144.65,54213.84,3124,114.11074875694648
telephony,4199,4545,309860.23,71215.79,4152,68.17606820682067
office_furniture,1273,1691,268154.31,68571.95,1264,158.5773565937315
stationery,2311,2517,223788.69,46798.48,2296,88.91088200238379
computers,181,203,218684.14,9836.3,179,1077.2617733990148
pet_shop,1710,1947,211695.64,39561.24,1689,108.72914227015923
musical_instruments,628,680,184315.74,18638.49,624,271.0525588235294
small_appliances,630,679,182754.12,16020.25,627,269.15187039764356
unknown,1451,1603,170726.63,28169.81,1445,106.50444791016844
electronics,2550,2767,155043.93,46578.32,2540,56.033223707986984
fashion_bags_accessories,1864,2031,149329.39,31450.0,1798,73.52505662235353
consoles_games,1062,1137,148003.37,19828.02,1058,130.17007036059806
construction_tools_construction,748,929,142108.49,20650.41,744,152.9693110871905
luggage_accessories,1034,1092,138701.63,30445.23,1028,127.01614468864469
home_appliances_2,234,238,107953.95,10600.18,229,453.588025210084
home_construction,490,604,81407.57,13832.24,489,134.7807450331126
home_appliances,764,771,78832.48,14818.9,703,102.24705577172503
agro_industry_and_commerce,182,212,70566.1,5843.6,181,332.858962264151
furniture_living_room,422,503,67350.7,17968.170000000002,415,133.8980119284294
home_confort,397,434,58008.450000000004,8501.23,396,133.66002304147466
fixed_telephony,217,264,55315.21,4637.81,217,209.5273106060606
air_conditioning,253,297,53323.56,6749.23,251,179.54060606060605
audio,350,364,50570.6,5710.44,349,138.93021978021977
small_appliances_home_oven_and_coffee,75,76,46589.56,2747.86,75,613.0205263157894
kitchen_dining_laundry_garden_furniture,248,281,45531.98,11999.43,247,162.0355160142349
books_general_interest,512,553,45302.15,9195.52,506,81.92070524412297
construction_tools_lights,244,304,39957.0,7583.8,244,131.4375
construction_tools_safety,167,194,38773.22,3919.1,166,199.86195876288662
industry_commerce_and_business,235,268,38498.81,7884.68,233,143.65227611940298
food,450,510,28731.15,7271.03,445,56.33558823529412
market_place,280,311,27795.77,5456.06,279,89.37546623794212
costruction_tools_garden,194,238,25096.28,5311.4,191,105.44655462184873
art,202,209,23657.3,4045.17,202,113.19282296650718
fashion_shoes,240,262,23001.46,4918.87,238,87.7918320610687
drinks,297,379,21529.84,5741.25,292,56.80696569920844
signaling_and_security,140,199,21315.05,6507.820000000001,139,107.1108040201005
furniture_bedroom,95,109,19051.8,4632.23,91,174.78715596330275
books_technical,260,267,18702.23,4283.06,259,70.04580524344568
costruction_tools_tools,97,103,15903.95,2030.22,97,154.40728155339806
food_drink,227,278,14942.88,4507.99,225,53.751366906474814
fashion_male_clothing,112,132,10452.33,2152.41,110,79.18431818181818
fashion_underwear_beach,121,131,9305.95,1916.19,121,71.03778625954199
christmas_supplies,128,153,8737.84,3229.2999999999997,128,57.110065359477126
tablets_printing_image,79,83,7528.41,1226.2,79,90.70373493975903
cine_photo,65,72,6674.47,1256.2,65,92.70097222222222
music,38,38,6034.35,690.51,38,158.79868421052632
dvds_blu_ray,59,64,4542.59,1288.74,58,70.97796875
party_supplies,39,43,4465.1900000000005,827.97,39,103.84162790697675
books_imported,53,60,4418.86,769.85,52,73.64766666666667
furniture_mattress_and_upholstery,38,38,4323.38,1630.46,38,113.77315789473684
portateis_cozinha_e_preparadores_de_alimentos,14,15,3933.63,309.76,14,262.242
fashio_female_clothing,39,48,2634.94,621.75,39,54.89458333333334
fashion_sport,27,30,2094.52,578.13,27,69.81733333333334
la_cuisine,13,14,2054.99,333.55,13,146.785
arts_and_craftmanship,23,24,1814.01,370.13,21,75.58375
diapers_and_hygiene,27,39,1500.79,573.68,26,38.48179487179487
pc_gamer,8,9,1306.95,133.57,8,145.21666666666667
flowers,29,33,1110.04,488.87,29,33.63757575757575
home_comfort_2,24,30,760.27,410.31,23,25.342333333333332
cds_dvds_musicals,12,14,730.0,224.98999999999998,12,52.142857142857146
fashion_childrens_clothes,8,8,519.95,95.51,8,64.99375
security_and_services,2,2,283.28999999999996,41.22,2,141.64499999999998
