purchase_month,orders,delivered_orders,customers,realized_gmv,cancelled_orders,avg_review_score,aov,cancellation_rate,gmv_growth_pct
2016-09-01,4,1,4,134.97,2,1.0,134.97,0.5,
2016-10-01,324,265,321,40325.11,31,3.561128526645768,152.17022641509433,0.09567901234567901,297.77091205453064
2016-12-01,1,1,1,10.9,0,5.0,10.9,0.0,-0.9997296969555693
2017-01-01,800,750,765,111798.36,13,4.0620253164556965,149.06448,0.01625,10255.730275229358
2017-02-01,1780,1653,1755,234223.4,62,4.016402714932127,141.69594676346037,0.0348314606741573,1.0950521993345879
2017-03-01,2682,2546,2642,359198.85,65,4.074032318677189,141.0836017282011,0.024235645041014168,0.5335737163750505
2017-04-01,2404,2303,2372,340669.68,27,4.045245077503142,147.9243074250977,0.011231281198003328,-0.051584714149279676
2017-05-01,3700,3546,3625,489338.25,60,4.139388979814512,137.99725042301185,0.016216216216216217,0.4364009441638599
2017-06-01,3245,3135,3180,421923.37,40,4.146674953387197,134.58480701754385,0.012326656394453005,-0.13776744409414143
2017-07-01,4026,3872,3947,481604.52,80,4.174185463659148,124.3813326446281,0.01987083954297069,0.14145021168180372
2017-08-01,4331,4193,4246,554699.7,59,4.238715681712424,132.29184354877174,0.01362271992611406,0.15177428152044747
2017-09-01,4285,4150,4212,607399.67,58,4.187955775111738,146.36136626506024,0.01353558926487748,0.09500630701621082
2017-10-01,4631,4478,4561,648247.65,84,4.123448726322665,144.76276239392587,0.01813863096523429,0.06725057983650196
2017-11-01,7544,7289,7430,987765.37,121,3.9101604278074866,135.51452462614898,0.016039236479321314,0.5237469352954847
2017-12-01,5673,5513,5603,726033.1900000001,53,4.0178189593727724,131.694756031199,0.00934249955931606,-0.264974039330818
2018-01-01,7269,7069,7166,924645.0,82,4.041660880433273,130.80280096194653,0.011280781400467739,0.2735574802027989
2018-02-01,6728,6555,6569,826437.13,103,3.8259892086330933,126.0773653699466,0.015309155766944114,-0.10621143249571452
2018-03-01,7211,7003,7115,953356.25,43,3.7529378847229995,136.13540625446237,0.005963111912356122,0.15357383567701022
2018-04-01,6939,6798,6882,973534.09,20,4.162138602353625,143.2088982053545,0.002882259691598213,0.021165057658141917
2018-05-01,6873,6749,6814,977544.6900000001,40,4.1943266559438515,144.84289376203884,0.005819874872690237,0.004119629750202192
2018-06-01,6167,6099,6128,856077.86,22,4.2774792379091355,140.36364322020003,0.0035673747365007297,-0.12425706082041121
2018-07-01,6292,6159,6230,867953.46,59,4.263326396670402,140.9244130540672,0.009376986649713922,0.013872102708041067
2018-08-01,6512,6351,6460,838576.64,91,4.256283731688512,132.03851991812314,0.013974201474201474,-0.03384607741525669
2018-09-01,16,0,14,0.0,15,1.8,,0.9375,-1.0
2018-10-01,4,0,4,0.0,4,2.25,,1.0,
