state,orders,delivered_orders,customers,realized_gmv,avg_review_score,avg_delivery_days,on_time_orders,delivered_with_date,on_time_rate,aov
SP,41746,40501,40302,5067633.16,4.173442322530864,8.76135656379617,38108.0,40495,0.9410544511668107,125.12365521838967
RJ,12852,12350,12384,1759651.1300000001,3.876960668400725,15.310052815555375,10689.0,12353,0.8652958795434308,142.48187287449394
MG,11635,11354,11259,1552481.83,4.135537476198719,12.010258342914689,10717.0,11355,0.943813298106561,136.73435177030123
RS,5466,5345,5277,728897.47,4.132279992651111,15.300276192406853,4962.0,5344,0.9285179640718563,136.36996632366697
PR,5045,4923,4882,666063.51,4.181709503885236,11.991582227413277,4677.0,4923,0.9500304692260817,135.2962644728824
SC,3637,3546,3534,507012.13,4.073981712385702,14.959297453377397,3201.0,3547,0.9024527769946433,142.9814241398759
BA,3380,3256,3277,493584.14,3.8607784431137726,19.335465824489262,2799.0,3256,0.8596437346437347,151.5921805896806
DF,2140,2080,2075,296498.41,4.06390977443609,12.96756810897436,1933.0,2080,0.9293269230769231,142.54731249999998
GO,2020,1957,1952,282836.7,4.042850024912805,15.606338535456764,1797.0,1957,0.9182422074603985,144.5256515074093
ES,2033,1995,1964,268643.45,4.037387836490528,15.789307110368513,1751.0,1995,0.8776942355889724,134.6583709273183
PE,1652,1593,1609,251889.49,4.008562691131498,18.448322994408407,1421.0,1593,0.8920276208411801,158.12271814187068
CE,1336,1279,1313,219757.38,3.856711915535445,21.26657863492891,1083.0,1279,0.8467552775605942,171.8196872556685
PA,975,946,949,174470.59,3.8503118503118503,23.77291691136168,829.0,946,0.8763213530655392,184.42979915433403
MT,907,886,876,152191.62,4.101111111111111,18.05575601172561,826.0,886,0.9322799097065463,171.77383747178328
MA,747,717,726,117009.38,3.757412398921833,21.572976474120562,576.0,717,0.803347280334728,163.19299860529986
MS,715,701,694,115429.97,4.109396914446003,15.618319018465684,620.0,701,0.884450784593438,164.6647218259629
PB,536,517,519,112586.82,4.016981132075472,20.426767609606706,460.0,517,0.8897485493230174,217.76947775628628
PI,495,476,482,84721.0,3.9183673469387754,19.45709826291628,400.0,476,0.8403361344537815,177.98529411764707
RN,485,474,474,82105.66,4.104166666666667,19.27815620604782,423.0,474,0.8924050632911392,173.21869198312237
AL,413,397,401,78855.72,3.7560975609756095,24.543855361974067,302.0,397,0.760705289672544,198.6290176322418
SE,350,335,342,56574.19,3.8080229226361033,21.519788280818133,284.0,335,0.8477611940298507,168.87817910447762
TO,280,274,273,48402.51,4.096774193548387,17.65806260982698,239.0,274,0.8722627737226277,176.65149635036497
RO,253,243,240,45682.76,4.051587301587301,19.37203651310776,236.0,243,0.9711934156378601,187.99489711934157
AM,148,145,143,22155.84,4.205479452054795,26.42599090038314,139.0,145,0.9586206896551724,152.79889655172414
AC,81,80,77,15930.97,4.049382716049383,21.035712962962965,77.0,80,0.9625,199.137125
AP,68,67,67,13374.81,4.1940298507462686,27.185067716970703,64.0,67,0.9552238805970149,199.62402985074627
RR,46,41,45,7057.47,3.608695652173913,29.387546014001806,36.0,41,0.8780487804878049,172.13341463414633
